"STATION","NAME","DATE","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01","22","2","3","2.2","0.25","0.90","7.5"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02","7","2","3","5.2","1.27","4.65","10.5"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03","9","5","7","7.3","0.74","4.32","18.1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-04","2","0","6","0.1","1.83","2.79","0.1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-05","0","0","0","0.0","1.22","3.01","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-06","0","0","0","0.0","1.65","4.63","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-07","0","0","0","0.0","0.66","1.27","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-08","0","0","0","0.0","1.55","4.13","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-09","0","0","0","0.0","0.64","2.60","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-10","0","0","0","0.0","1.62","2.63","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-11","0","0","0","0.0","0.96","4.09","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-12","19","9","6","6.9","2.82","6.92","28.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-01","30","5","8","4.9","0.44","1.89","12.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-02","6","3","2","2.7","1.30","5.05","8.1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-03","5","3","3","4.0","0.96","3.08","7.4"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-04","0","1","0","1.6","1.12","2.92","1.9"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-05","0","0","0","0.0","1.05","3.72","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-06","0","0","0","0.0","0.56","1.74","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-07","0","0","0","0.0","0.82","2.84","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-08","0","0","0","0.0","0.76","1.59","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-09","0","0","0","0.0","0.69","1.55","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-10","0","0","0","0.0","1.30","2.16","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-11","1","1","2","1.2","2.59","6.74","2.8"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-12","4","4","2","2.7","0.82","2.40","7.9"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-01","9","3","2","3.0","0.37","2.05","7.8"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-02","15","6","9","5.8","2.40","5.29","16.5"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-03","8","3","6","6.0","1.95","5.37","12.1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-04","0","0","0","0.3","0.81","3.34","0.4"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-05","0","0","0","0.0","1.14","5.26","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-06","0","0","0","0.0","1.09","6.76","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-07","0","0","0","0.0","1.03","2.19","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-08","0","0","0","0.0","0.18","0.83","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-09","0","0","0","0.0","3.15","5.94","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-10","0","0","0","0.0","1.51","2.98","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-11","1","0","1","0.6","1.80","7.03","0.6"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-12","6","2","1","1.4","1.00","6.08","3.3"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-01","1","2","2","1.7","1.27","3.13","3.6"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-02","2","1","1","1.1","1.11","2.13","2.5"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-03","0","0","0","0.3","0.69","2.20","0.3"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-04","0","0","0","0.0","1.36","5.65","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-05","0","0","0","0.0","0.86","3.77","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-06","0","0","0","0.0","1.29","4.68","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-07","0","0","0","0.0","1.73","4.83","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-08","0","0","0","0.0","1.22","2.78","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-09","0","0","0","0.0","1.03","1.96","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-10","0","0","0","0.0","0.99","2.71","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1973-11","0","0","0","0.0","0.55","1.74","0.0"
