"STATION","NAME","DATE","AWND","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01",,"0.90"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-02",,"4.65"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03",,"4.32"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-04",,"2.79"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-05",,"3.01"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-06",,"4.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-07",,"1.27"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-08",,"4.13"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-09",,"2.60"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-10",,"2.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-11",,"4.09"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-12",,"6.92"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-01",,"1.89"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-02",,"5.05"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-03",,"3.08"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-04",,"2.92"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-05",,"3.72"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-06",,"1.74"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-07",,"2.84"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-08",,"1.59"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-09",,"1.55"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-10",,"2.16"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-11",,"6.74"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1971-12",,"2.40"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-01",,"2.05"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-02",,"5.29"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-03",,"5.37"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1972-04",,"3.34"
