Year,1,2,3,4,5,6,7,8,9,10,11,12
1970,66.9,67,72.9,78.9,78.9,82.7,83.8,83.3,81.6,79.3,71.9,72.4
1971,70.5,71.9,72.4,75.9,80.7,83,84,83.2,82.7,81.1,75.8,76.2
1972,74.9,71.9,75.4,77.9,80.9,81.2,83.6,84.4,82.9,81.2,78,73.6
1973,72.3,66.8,75.8,76.8,80.1,82.9,83.5,83.1,83,80.3,78.2,70.4
1974,76.8,71,75.8,77.6,80.4,82.8,83.6,84.2,84.3,79.1,75.2,72
1975,74.6,75.3,76.5,79.6,82.4,84.1,83.7,84.5,82.7,81.2,75.4,71.4
1976,67.8,70.7,77,76.3,80.5,80.7,84.5,84,83.5,79.4,74.4,70.9
1977,65.8,68,76.4,77,79.1,83.1,83.7,83,83.3,78.3,74.6,69.4
1978,64.2,63.1,70.7,77.3,81.8,84,85.3,85.3,84.2,80.4,77.9,76.1
1979,69.1,69.2,72.8,78.7,81.5,84.3,85.3,85.2,83.6,80.9,76.8,72.3
1980,70.8,66.5,75.2,77.6,81.3,83.8,84.7,84.9,84.4,81.6,75.6,68.5
1981,61.3,69.1,70.9,78.5,81,85.1,85.8,84,83,81.5,73.9,70.5
1982,71.3,75.8,77.1,80.8,80.1,83.1,85.5,83.9,82.3,78.8,75.4,73.3
1983,67.5,68.3,69.7,74,78.8,82.1,83.3,83.9,82.7,80.5,75.7,72.7
1984,68.6,70.7,72.7,76.4,80.7,81.2,82.9,83.5,81.5,80,74.7,74
1985,67,71.8,75.3,76.3,81.3,85.1,83.3,84,82.1,82,78.2,69
1986,67.8,72,71.4,74.3,80.1,83.5,85.1,83.7,83.4,81.5,80.6,74.9
1987,68.9,71.8,73,71.2,80.2,84.5,85.1,85.3,84.9,77,75.9,71.5
1988,69,68.3,71.9,76.6,77.8,82.5,84.2,84.2,83.6,79.8,78.5,71.4
1989,74.1,72.1,74.2,78.2,81.7,83.9,83.8,85.4,85.1,80.4,77,67.2
1990,73.2,75.4,74.9,76.6,81.7,84.3,84.7,85.5,83.8,80.8,75.6,74.6
1991,75.5,72.8,75.7,80.5,82.2,83.8,85.7,85.5,83.8,80.2,74.3,72.9
1992,69.6,72.4,73.3,75.6,77.8,83.5,85,85.1,83.1,79.6,77.9,72.8
1993,74.4,70.6,71.9,74.3,79.2,83.7,85.9,85.3,83.9,81.1,77.1,70.8
1994,70.3,74.6,74.5,79.1,81.5,85.2,84.4,83.4,82.6,80.5,78,73.7
1995,69.1,69.3,73.8,78.4,83.5,83.2,84.7,85.3,84.1,81.7,75.4,69.1
1996,68.6,67.4,69.9,75.8,80.6,82.5,84.8,83.7,83.5,78.9,75.6,72.5
1997,70.9,75.1,77.4,77.5,81.9,83.2,84,84.4,81.9,79,75.6,70.6
1998,70.7,70.7,70.6,76.5,79.8,85.1,85.8,84.6,83.7,81.1,77.3,75
1999,72.1,71.4,71.9,78.4,80.3,82.8,84.1,84,83.3,79.7,74.8,72.1
2000,70.2,70.8,75.7,75.9,80.9,83.3,85.1,83.2,83.8,78.2,74.4,69.9
2001,64.6,74.9,74.1,77.1,78.2,83.8,83.4,84.4,81.8,79.2,74.5,73.8
2002,70.9,70.9,75.4,79.1,81.4,82.4,84.2,84.4,84,82.3,74.7,71.2
2003,63.8,72,77.8,75.6,82,83.1,84.9,86,85,82.8,78.5,68.5
2004,68.6,71.1,73.5,74.9,79.1,84,84.5,84.6,82.6,81,77.5,70.8
2005,69.1,70.3,72,74.5,79.5,82.8,84.9,85.9,83.3,79.9,76,70.3
2006,69.8,69.4,73.2,76.6,78.8,81.9,83.9,84.6,83.4,80.7,73.3,74.3
2007,74.1,70.2,74.7,76.8,80,83.1,86.8,87.5,85,83.5,78.1,74.8
2008,70.5,75.1,75,76.5,81.4,84.5,84.5,84.8,82.3,78.9,72.3,71.3
2009,68.5,67.8,73,76.9,80.7,83,86.3,86.3,84.7,82.7,75.9,73.4
2010,64.2,64.7,67.7,75.9,82.1,85.9,84.3,85.1,83.5,79.6,74.7,63.1
2011,67.2,71.5,74,80.3,81.9,83.6,85.7,85.5,84.9,79.3,76.4,73.9
2012,70.8,74,76.4,76.9,80.4,81.8,82.5,83.4,82.2,80.4,72,73.4
2013,74.2,73.2,69.5,79.6,80.3,83.3,82.8,83.4,82.8,81.6,77.3,75.7
2014,69.1,74.4,73.7,77.8,81.7,83.4,86.3,86.4,83.7,80.7,73.4,72.8
2015,72.2,68.5,76.9,80.4,81.4,83.8,85.8,85.8,84.9,81.9,79.6,77.6
2016,70,69.5,75.3,77,80,83.8,85.1,84.5,83.9,81.5,76.5,77.5
2017,73,74.7,74.7,77.7,81.6,84,85.6,85.8,84.6,80.8,77.4,72.7
2018,67.5,76.6,72.1,78.1,78.9,83.1,86.9,85.7,85.8,83.5,79.8,75.4
2019,71.2,77.2,76.1,79.2,82.5,84.7,85.4,86,84.5,83.4,78.3,75.3
2020,72.7,74.7,77.4,80.9,80.7,85.1,85.9,87.2,85.6,82.7,77.8,70
2021,69.1,74.8,76,78.8,81.2,82.8,84,84.7,83.7,81.9,73.9,75.5
2022,70.6,72.5,76.5,78.4,81.1,82.6,85.1,84.9,83.4,80.1,79.3,73.5
2023,72.6,76.6,77.5,79.7,82,85.4,87.7,87.4,85.4,82.3,78.1,72
2024,71.4,70.1,77.6,77.8,84.7,84.2,87,86.1,86.2,81.8,78,M
