Year,1,2,3,4,5,6,7,8,9,10,11,12
1970,23.7,30.4,36.7,45.1,55.7,69.1,73.4,73.4,67.9,59.8,43.1,36.3
1971,33,29.6,36.3,44.9,57.6,65.4,73.7,71.5,65.7,51.8,42.3,33
1972,31.4,30.1,43.3,49.9,57,70,74.2,74.8,64.4,55.6,45.8,39.5
1973,31.7,29.1,38.7,50.8,54.7,64.8,72.4,72,63.7,50,45.3,37.7
1974,34.9,32,36.8,45.1,61.4,67.5,75.9,72.9,63.9,57.3,51.8,34.4
1975,26.1,37.3,41.1,55.1,60.2,73.4,72.9,71.9,64.9,52.3,41.9,29
1976,23.2,30.7,44.7,51.3,62.6,67.4,74.9,73.4,64.4,55.3,48.1,34.2
1977,28.4,27,36.2,48.8,59.3,68.2,72,71.6,61.4,52.5,43.5,35.3
1978,32.5,23.1,42.5,48.7,61.1,68.2,74.5,71.7,64.9,52.6,48.6,36.6
1979,29.4,27.8,36.8,48.7,59.4,66.3,75.8,74.2,66.9,52.4,41.2,28.6
1980,21.4,36.4,39.1,51.7,60.4,70.7,74.6,72,63.6,51.2,43.8,33.2
1981,22.9,30.8,38.6,48.2,57.8,63.3,74.8,70.3,64,54.2,47.6,39.5
1982,31.2,32.8,40.6,49.1,58.1,70.7,78,73.6,70.6,55.1,46.1,32.1
1983,26.6,37.5,31.8,46.1,58,70.5,74.7,74.6,62.1,53.2,44.5,39.5
1984,24.3,32.8,40.3,49.2,59.2,64.8,73.5,70.3,65.4,55.4,45.4,31.3
1985,31.4,28.8,40.7,48.4,58.4,66,71,70.5,63.2,54,42.3,35.5
1986,28.9,29.1,38.5,45.1,57.1,65.1,71.6,70.3,65.4,54.3,43.8,36.1
1987,27.8,32.1,39.2,46.8,57.6,68.5,73.7,75.5,64.6,50.8,46.7,32.8
1988,34.5,30.5,37.2,45.9,59.3,67.8,72.7,71.6,64.7,55.2,42.7,21.7
1989,36.4,34.1,40.1,47.6,54.9,66.6,73.1,73.3,64.6,58.3,48.5,40.7
1990,29.4,36,41.5,51.3,63.2,70,74.6,73.7,63.7,56.4,45.2,35.9
1991,31,32.4,35.4,46.3,55.5,67.7,69.4,70.3,63.9,52.4,42.9,34.8
1992,32.4,27.1,36.4,48.3,60.3,69.4,74.7,73.5,64.8,52.3,45.6,34.2
1993,22.2,26.9,38.1,51.4,58.4,71.9,77.5,72.4,64.2,55.5,48.9,38.5
1994,34.6,28.4,38.8,46.1,57.2,68.6,75.9,72.8,63.1,58.3,41.9,31.7
1995,30.1,30.9,36.5,47.9,57.4,68.1,71.8,70.9,64.1,53.2,40.3,39.2
1996,29.2,36,36.7,46.3,56.1,68.2,73.6,71.1,64.2,52.8,41.6,35.2
1997,33.9,35.2,41.5,49.4,60.3,64.6,74.3,72.5,66.3,54.4,44.6,39.1
1998,29.5,33.6,39.3,49.2,58.2,71,75.7,71.3,67.1,53,48,37.3
1999,27.5,34.2,43.3,47.3,57.2,67.3,70,70.3,63.5,53.9,43.8,29.2
2000,30,31.7,35.3,48.7,59.5,71.1,69.9,73.9,65.3,56.2,48.3,40.5
2001,36.7,36.3,40.2,49.7,57.7,66.5,75.2,75.2,68.4,52.4,42.9,33.1
2002,24.1,26.3,37.6,44.5,55.1,65.4,74.3,74.2,65.7,53,45.9,36
2003,20.7,33,39.4,49.5,58.8,66.5,71,72,65.2,53.8,44.3,35
2004,26.7,31.1,35.2,49.7,52.2,68.3,73.3,74.4,67.9,54.7,45.9,32.5
2005,36.5,31,38.7,49.8,57,68.1,75.9,71.4,64.6,54.3,49.1,41
2006,32.7,26.1,37.4,45.2,61.4,68.5,72.9,72.7,67.6,59.2,43,32.4
2007,33.4,32.5,38.2,49.3,57.7,70.3,75,70,65.3,53.3,43.4,35.7
2008,24.8,32.9,37.5,50.5,59.5,63.3,70.5,73.6,63.2,51.9,48.8,33.2
2009,29.6,33.2,43.9,53,62.8,70.3,77.2,73.4,68.7,55.6,44.8,32.7
2010,27.6,30.5,38.9,50.1,59.2,67.1,77.3,73.9,67.3,57.5,50.4,40
2011,34.1,37.3,46.7,53.1,60.3,66.8,75.3,74.6,64.7,56.5,42.1,38.4
2012,31.5,31.1,37.7,48.9,58.8,69.6,77.1,72.1,64.7,56.6,42.7,33.3
2013,27.4,28.9,33.5,48.1,58.7,68.3,74.1,70.8,66.2,56.4,42.5,38.2
2014,26.1,19,33.2,48,62.3,64.7,73.9,74.6,69.2,54,48.6,45.3
2015,32.5,34.7,42.5,47.1,58.6,68.4,76.1,76.4,67.5,55.3,46.2,35.2
2016,35.1,36.6,34,51.7,56.3,69.5,72.5,72,67.1,61.4,43.7,30.7
2017,28.6,38.1,37.2,45.3,62.1,67.7,76.1,77.4,69,54.4,42.9,37.3
2018,30.7,33.5,39.1,51.7,57.8,68.2,78.7,74.1,68,57.4,42.8,37.2
2019,38,37.8,41.8,44.6,56.8,69.2,75.3,74.1,65.6,54.7,48,36
2020,31,30.8,42,50.8,61.4,74.4,72.4,76.9,69.7,59.9,44.7,39.2
2021,27.4,33.1,41.4,50.1,60.6,67.9,77.5,76.7,65.2,56.6,49,37.3
2022,37.8,34.9,40.8,50.8,60.1,65.9,75.4,71.8,67.4,59.2,43,40.8
2023,33.1,35.2,42,48.8,59.7,70.9,76,72,65.9,56.5,M,M
2024,,,,,,,,,,,,
