EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5627063,MONROE/MIDDLE KEYS (ZONE), ,06/11/1997,1730,Flood, , ,0,0,0,0,FL,EST, ,1050311,Z,77,MFL,0,0, , , , , , , , , ,06/11/1997,1730, , , , ,"","monroe county e.m. reported parking lots, side streets and low lying areas flooded. 7.62 inches of rain was measured in marathon most falling between 1530 pm and 1730 pm.",1
5672958,MAINLAND MONROE (ZONE), ,09/25/1998,0,Hurricane (Typhoon), , ,0,0,0,0,FL,EST, ,2149960,Z,75,MFL,0,0,UNKNOWN, , , , , , , , ,09/25/1998,1600, , , , ,"","",2
5672862,MONROE/LOWER KEYS (ZONE), ,09/25/1998,500,Hurricane (Typhoon), , ,0,0,250000000,0,FL,EST, ,2149954,Z,78,MFL,0,0,EMERGENCY MANAGER, , , , , , , , ,09/25/1998,1700, , , , ,"Countywide 1780 homes were damaged. About 900 of these were destroyed. Aproximately 700 of these were mobile homes. 75 of the homes were houseboats. Widespread damage to trees and vegitation. Powerlines were down primarially in the lower half of the Florida Keys. Extensive damage to the fishing industry with  nearly a total loss of lobster traps. Widespread damage or loss of a variety of watercraft. Some significant winds:
from Marathon Monroe county EOC southeast gust to 96 knots at unknown time. Marathon Airport ASOS (KMTH) east northeast at 58 knots at 0600 AM est (no records available after 0600 AM). Duck Key southeast
70 gusting to 84 knots at unknown time. Sombrero Key C-MAN (SMKF1) southeast 80 gusting to 94 knots at 100 AM est. Key West ASOS (KEYW) 060 degrees 48 gusting to 76 knots at 0842 AM est (no records available after 1000 AM est). Lowest pressure recorded at Dry Tortugas C-MAN974.4 MB at 0500 pm est. Lowest pressure recorded at Key West ASOS (KEYW) until 1000 AM est was 982.5 MB.   Approxiately 60,000 people evacuated.","Spiral bands associated with Hurricane Georges moved north over south Florida on the evening of Thursday September 24 1998. The convective activity embedded in the spiral bands was moving to the southwest near 45 knots. Hurricane Georges moved off the coast of central Cuba on the morning of Friday September 25 1998. Georges moved northwest over the Straits of Florida. The eye passed over Key West at mile marker 1 of US-1 between 1100 AM EST and 1230 PM EST.  The greastest damage from wind and storm surge flooding occurred in the lower Keys from Cudjoe Key, mile marker 21, to Big Pine Key, mile marker 31. NWS personnel estimated 105-110 knot wind gusts from the south and southeast in this area with sustained winds near 90 knots.  As the north side of the eye wall passed over Key West, the highest sustained winds were 58 knots with gusts to 76 knots from the east and northeast. The Key West ASOS lost power at that time. Georges continued to move northwest over the Gulf of Mexico. The southwest coast of Florida experienced widespread beach erosion from the storm surge.",3
5716844,MONROE/LOWER KEYS (ZONE), ,10/14/1999,2100,Hurricane (Typhoon), , ,0,0,9300000,0,FL,EST, ,2413547,Z,78,EYW,0,0,NWS STORM SURVEY, , , , , , , , ,10/15/1999,1800, , , , ,"","",4
5716845,MONROE/MIDDLE KEYS (ZONE), ,10/14/1999,2200,Hurricane (Typhoon), , ,0,0,1500000,0,FL,EST, ,2413547,Z,77,EYW,0,0,NWS STORM SURVEY, , , , , , , , ,10/15/1999,2000, , , , ,"","",5
5716846,MONROE/UPPER KEYS (ZONE), ,10/14/1999,2300,Hurricane (Typhoon), , ,0,0,2670000,0,FL,EST, ,2413547,Z,76,EYW,0,0,NWS STORM SURVEY, , , , , , , , ,10/15/1999,2100, , , , ,"","",6
5716849,MONROE/UPPER KEYS (ZONE), ,10/15/1999,900,Flood, , ,0,0,0,0,FL,EST, ,2413547,Z,76,EYW,0,0,EMERGENCY MANAGER, , , , , , , , ,10/15/1999,1715, , , , ,"U.S. Highway 1 was closed at mile marker 75 due to freshwater flooding due to heavy rains.","",7
5716850,MONROE/LOWER KEYS (ZONE), ,10/15/1999,1000,Flood, , ,0,0,0,0,FL,EST, ,2413547,Z,78,EYW,0,0,LAW ENFORCEMENT, , , , , , , , ,10/15/1999,1800, , , , ,"Key Deer Boulevard was completely underwater for several hours dur to heavyrains","",8
5151606,MONROE CO.,KEY WEST,07/28/2000,1848,Flood, , ,0,0,0,0,FL,EST, ,1097271,C,87,EYW,0,0,NWS EMPLOYEE(OFF DUTY), , , , , , , ,KEY WEST,07/28/2000,1930, , , , ,"Minor street flooding along streets adnin business in downtown Key West.","",9
5272138,MONROE/UPPER KEYS (ZONE), ,11/04/2001,1900,Hurricane (Typhoon), , ,0,0,0,0,FL,EST, ,1124515,Z,76,EYW,0,0,COASTAL OBSERVING STATION, , , , , , , , ,11/04/2001,1901, , , , ,"","Hurricane Michelle passed about 60 miles south of the Florida Keys on the 4th and 5th.  Only minimal damage occurred in the Keys.  The listings are for sustained and maximum wind gusts observed over coastal observing stations.  The 3 events listed are the only observations of sustained winds greater than 33 knots.

Location			maximum sustained (direction)	maximum gust (direction)	time
Sombrero Key C-MAN station:       43 knots (060)                                 50 knots (060)                  0300 EST (5th)
(Middle Keys)
Sand Key C-MAN station	42 knots (050)                                    47 knots (050)                   0000 EST (5th)
(Lower Keys)
Molasses Reef C-MAN station:	39 knots (060)			 49 knots (060)		         1900 EST (4th)           
(Upper Keys)",10
